id,country_id,index,year
374,177,53.1,2007
375,177,50.0,2008
376,177,43.8,2009
377,177,37.5,2010
378,177,37.5,2011
379,177,37.5,2012
380,177,37.5,2013
381,177,37.5,2014
382,177,37.5,2015
383,177,37.5,2016
384,177,37.5,2017
385,38,37.5,2006
386,38,34.4,2007
387,38,31.3,2008
388,38,31.3,2009
389,38,31.3,2010
390,38,31.3,2011
391,38,31.3,2012
392,38,31.3,2013
393,38,31.3,2014
394,38,43.8,2015
395,38,43.8,2016
396,38,37.5,2017
397,191,56.3,2006
398,191,46.9,2007
399,191,37.5,2008
400,191,37.5,2009
401,191,37.5,2010
402,191,37.5,2011
403,191,37.5,2012
404,191,37.5,2013
405,191,37.5,2014
406,191,37.5,2015
407,191,37.5,2016
408,191,37.5,2017
409,33,68.8,2006
410,33,68.8,2007
411,33,68.8,2008
412,33,68.8,2009
413,33,68.8,2010
414,33,68.8,2011
415,33,68.8,2012
416,33,68.8,2013
417,33,68.8,2014
418,33,68.8,2015
419,33,68.8,2016
420,33,68.8,2017
421,5,56.3,2006
422,5,56.3,2007
423,5,56.3,2008
424,5,56.3,2009
425,5,56.3,2010
426,5,56.3,2011
427,5,56.3,2012
428,5,56.3,2013
429,5,56.3,2014
430,5,56.3,2015
431,5,56.3,2016
432,5,56.3,2017
433,71,56.3,2006
434,71,56.3,2007
435,71,56.3,2008
436,71,53.1,2009
437,71,50.0,2010
438,71,50.0,2011
439,71,56.3,2012
440,71,56.3,2013
441,71,56.3,2014
442,71,56.3,2015
443,71,50.0,2016
444,71,50.0,2017
445,118,43.8,2006
446,118,43.8,2007
447,118,43.8,2008
448,118,43.8,2009
449,118,43.8,2010
450,118,43.8,2011
451,118,43.8,2012
452,118,43.8,2013
453,118,43.8,2014
454,118,43.8,2015
455,118,43.8,2016
456,118,43.8,2017
457,80,62.5,2006
458,80,68.8,2007
459,80,75.0,2008
460,80,65.7,2009
461,80,56.3,2010
462,80,56.3,2011
463,80,56.3,2012
464,80,56.3,2013
465,80,56.3,2014
466,80,62.5,2015
467,80,68.8,2016
468,80,68.8,2017
469,182,81.3,2006
470,182,81.3,2007
471,182,81.3,2008
472,182,81.3,2009
473,182,81.3,2010
474,182,81.3,2011
475,182,81.3,2012
476,182,75.0,2013
477,182,68.8,2014
478,182,68.8,2015
479,182,68.8,2016
480,182,68.8,2017
481,106,93.8,2006
482,106,93.8,2007
483,106,93.8,2008
484,106,93.8,2009
485,106,93.8,2010
486,106,93.8,2011
487,106,93.8,2012
488,106,93.8,2013
489,106,93.8,2014
490,106,93.8,2015
491,106,93.8,2016
492,106,93.8,2017
493,74,50.0,2006
494,74,50.0,2007
495,74,50.0,2008
496,74,50.0,2009
497,74,50.0,2010
498,74,56.3,2011
499,74,56.3,2012
500,74,56.3,2013
501,74,56.3,2014
502,74,56.3,2015
503,74,56.3,2016
504,74,56.3,2017
505,157,56.3,2006
506,157,56.3,2007
507,157,56.3,2008
508,157,59.4,2009
509,157,62.5,2010
510,157,62.5,2011
511,157,62.5,2012
512,157,62.5,2013
513,157,62.5,2014
514,157,62.5,2015
515,157,62.5,2016
516,157,56.3,2017
517,179,31.3,2006
518,179,31.3,2007
519,179,31.3,2008
520,179,34.4,2009
521,179,37.5,2010
522,179,37.5,2011
523,179,43.8,2012
524,179,43.8,2013
525,179,43.8,2014
526,179,43.8,2015
527,179,43.8,2016
528,179,43.8,2017
529,111,68.8,2006
530,111,59.4,2007
531,111,50.0,2008
532,111,50.0,2009
533,111,50.0,2010
534,111,56.3,2011
535,111,56.3,2012
536,111,37.5,2013
537,111,31.3,2014
538,111,37.5,2015
539,111,37.5,2016
540,111,37.5,2017
541,70,43.8,2006
542,70,46.9,2007
543,70,50.0,2008
544,70,50.0,2009
545,70,50.0,2010
546,70,50.0,2011
547,70,50.0,2012
548,70,50.0,2013
549,70,50.0,2014
550,70,50.0,2015
551,70,50.0,2016
552,70,50.0,2017
553,24,50.0,2006
554,24,46.9,2007
555,24,43.8,2008
556,24,46.9,2009
557,24,50.0,2010
558,24,43.8,2011
559,24,43.8,2012
560,24,43.8,2013
561,24,43.8,2014
562,24,43.8,2015
563,24,43.8,2016
564,24,43.8,2017
565,31,62.5,2006
566,31,62.5,2007
567,31,62.5,2008
568,31,62.5,2009
569,31,62.5,2010
570,31,62.5,2011
571,31,68.8,2012
572,31,68.8,2013
573,31,68.8,2014
574,31,68.8,2015
575,31,68.8,2016
576,31,68.8,2017
577,167,75.0,2006
578,167,75.0,2007
579,167,75.0,2008
580,167,75.0,2009
581,167,75.0,2010
582,167,75.0,2011
583,167,75.0,2012
584,167,75.0,2013
585,167,68.8,2014
586,167,68.8,2015
587,167,68.8,2016
588,167,68.8,2017
589,64,62.5,2006
590,64,62.5,2007
591,64,62.5,2008
592,64,59.4,2009
593,64,56.3,2010
594,64,56.3,2011
595,64,56.3,2012
596,64,56.3,2013
597,64,56.3,2014
598,64,56.3,2015
599,64,56.3,2016
600,64,56.3,2017
601,76,50.0,2006
602,76,50.0,2007
603,76,50.0,2008
604,76,50.0,2009
605,76,50.0,2010
606,76,50.0,2011
607,76,50.0,2012
608,76,50.0,2013
609,76,56.3,2014
610,76,56.3,2015
611,76,56.3,2016
612,76,56.3,2017
613,90,87.5,2006
614,90,87.5,2007
615,90,87.5,2008
616,90,90.7,2009
617,90,93.8,2010
618,90,87.5,2011
619,90,87.5,2012
620,90,87.5,2013
621,90,87.5,2014
622,90,87.5,2015
623,90,87.5,2016
624,90,87.5,2017
625,75,75.0,2006
626,75,75.0,2007
627,75,75.0,2008
628,75,75.0,2009
629,75,75.0,2010
630,75,75.0,2011
631,75,75.0,2012
632,75,75.0,2013
633,75,68.8,2014
634,75,62.5,2015
635,75,62.5,2016
636,75,56.3,2017
637,83,56.3,2006
638,83,50.0,2007
639,83,43.8,2008
640,83,43.8,2009
641,83,43.8,2010
642,83,50.0,2011
643,83,50.0,2012
644,83,50.0,2013
645,83,50.0,2014
646,83,50.0,2015
647,83,56.3,2016
648,83,50.0,2017
649,100,56.3,2006
650,100,56.3,2007
651,100,56.3,2008
652,100,53.1,2009
653,100,50.0,2010
654,100,50.0,2011
655,100,50.0,2012
656,100,50.0,2013
657,100,50.0,2014
658,100,50.0,2015
